"inventory_position","shop_domain","product_key","product_id","product_gid","Handle","product_url","collection_url","canonical_url","title_current","vendor","product_type","tags","published_at","created_at","updated_at","variant_count","image_count","first_image_url","min_price","max_price","available","source","discovery_status","processing_status","notes","discovered_at"
"169","jeminise.com","jeminise.com+pamnest-twin-halloween-comforter-set-with-sheets-5-pieces-design-06","8879779381447","","pamnest-twin-halloween-comforter-set-with-sheets-5-pieces-design-06","https://jeminise.com/products/pamnest-twin-halloween-comforter-set-with-sheets-5-pieces-design-06","https://jeminise.com/collections/all/products/pamnest-twin-halloween-comforter-set-with-sheets-5-pieces-design-06","","Pamnest Twin Halloween Comforter Set with Sheets, 5 Pieces - Design 06","Jeminise","Comforter Sets","All Seasons, amazon-import, amazon-parent-b0ffg3d598, Comforter Set, Contemporary, Easy Care, Halloween Comforter","2026-08-28T12:16:11-05:00","2026-08-28T11:58:24-05:00","2026-09-06T11:40:41-05:00","4","6","https://cdn.shopify.com/s/files/1/0792/5098/1063/files/56881a19a51c01cc553fffe6fc20529fd559dd35981c52ef5bde9f745e19e0c6.jpg?v=1787936307","68.85","113.85","TRUE","collections/all/products.json","DISCOVERED","DISCOVERED","","2026-09-06T23:41:32.4166246+07:00"
"170","jeminise.com","jeminise.com+pamnest-twin-halloween-comforter-set-with-sheets-5-pieces-design-07","8879779414215","","pamnest-twin-halloween-comforter-set-with-sheets-5-pieces-design-07","https://jeminise.com/products/pamnest-twin-halloween-comforter-set-with-sheets-5-pieces-design-07","https://jeminise.com/collections/all/products/pamnest-twin-halloween-comforter-set-with-sheets-5-pieces-design-07","","Pamnest Twin Halloween Comforter Set with Sheets, 5 Pieces - Design 07","Jeminise","Comforter Sets","All Seasons, amazon-import, amazon-parent-b0ffg3d598, Comforter Set, Contemporary Style, Easy Care, Ghost, Halloween Comforter, Twin","2026-08-28T12:16:11-05:00","2026-08-28T11:58:31-05:00","2026-09-06T11:40:41-05:00","4","6","https://cdn.shopify.com/s/files/1/0792/5098/1063/files/feceab1269e0c41029cfcb73e8317439de8337d84336b09e87d52e7744326f5e.jpg?v=1787936313","68.85","113.85","TRUE","collections/all/products.json","DISCOVERED","DISCOVERED","","2026-09-06T23:41:32.4166246+07:00"
"171","jeminise.com","jeminise.com+pamnest-twin-halloween-comforter-set-with-sheets-5-pieces-design-08","8879779446983","","pamnest-twin-halloween-comforter-set-with-sheets-5-pieces-design-08","https://jeminise.com/products/pamnest-twin-halloween-comforter-set-with-sheets-5-pieces-design-08","https://jeminise.com/collections/all/products/pamnest-twin-halloween-comforter-set-with-sheets-5-pieces-design-08","","Pamnest Twin Halloween Comforter Set with Sheets, 5 Pieces - Design 08","Jeminise","Comforter Sets","All Seasons, amazon-import, amazon-parent-b0ffg3d598, Comforter Set, Easy Care, Halloween Comforter, Kids Bedding, Themed Bedding","2026-08-28T12:16:12-05:00","2026-08-28T11:58:41-05:00","2026-09-06T11:40:41-05:00","4","6","https://cdn.shopify.com/s/files/1/0792/5098/1063/files/1414cb561f6df4ab8d6ead2b6e9a0e8ee121f1b5aaf58a9de1efdb785e9232ca.jpg?v=1787936323","68.85","113.85","TRUE","collections/all/products.json","DISCOVERED","DISCOVERED","","2026-09-06T23:41:32.4166246+07:00"
"172","jeminise.com","jeminise.com+pamnest-twin-halloween-comforter-set-with-sheets-5-pieces-design-09","8879779479751","","pamnest-twin-halloween-comforter-set-with-sheets-5-pieces-design-09","https://jeminise.com/products/pamnest-twin-halloween-comforter-set-with-sheets-5-pieces-design-09","https://jeminise.com/collections/all/products/pamnest-twin-halloween-comforter-set-with-sheets-5-pieces-design-09","","Pamnest Twin Halloween Comforter Set with Sheets, 5 Pieces - Design 09","Jeminise","Comforter Sets","All Seasons, amazon-import, amazon-parent-b0ffg3d598, Comforter Set, Easy Care, Ghost, Halloween Comforter, Horror Cartoon, Pumpkin","2026-08-28T12:04:47-05:00","2026-08-28T11:58:46-05:00","2026-09-06T11:40:41-05:00","4","6","https://cdn.shopify.com/s/files/1/0792/5098/1063/files/5f6b3ffa6d1b25d15b04641037bd7eb2b56065ea9e8dbb07633375ab9f848645.jpg?v=1787936329","68.85","113.85","TRUE","collections/all/products.json","DISCOVERED","DISCOVERED","","2026-09-06T23:41:32.4166246+07:00"
"173","jeminise.com","jeminise.com+pamnest-twin-halloween-comforter-set-with-sheets-5-pieces-evil","8879778726087","","pamnest-twin-halloween-comforter-set-with-sheets-5-pieces-evil","https://jeminise.com/products/pamnest-twin-halloween-comforter-set-with-sheets-5-pieces-evil","https://jeminise.com/collections/all/products/pamnest-twin-halloween-comforter-set-with-sheets-5-pieces-evil","","Pamnest Twin Halloween Comforter Set with Sheets, 5 Pieces Evil","Jeminise","Comforter Sets","All Seasons, amazon-import, amazon-parent-b0ffg3d598, Comforter Set, Easy Care, Halloween Comforter Set, Horror Cartoon","2026-08-28T12:16:02-05:00","2026-08-28T11:55:42-05:00","2026-09-06T11:40:41-05:00","4","6","https://cdn.shopify.com/s/files/1/0792/5098/1063/files/1f37711843552e811d34b03499b81c9d5785fd1cc3e1583509a63c36390e6e7d.jpg?v=1787936145","68.85","113.85","TRUE","collections/all/products.json","DISCOVERED","DISCOVERED","","2026-09-06T23:41:32.4166246+07:00"
"174","jeminise.com","jeminise.com+personalized-and-romance-music-player-interface-quilt-with-photo-b8a3dc4155-b8a3dc4155","8834791506119","","personalized-and-romance-music-player-interface-quilt-with-photo-b8a3dc4155-b8a3dc4155","https://jeminise.com/products/personalized-and-romance-music-player-interface-quilt-with-photo-b8a3dc4155-b8a3dc4155","https://jeminise.com/collections/all/products/personalized-and-romance-music-player-interface-quilt-with-photo-b8a3dc4155-b8a3dc4155","","Personalized and Romance Music Player Interface Quilt with Photo","Jeminise","Quilt","amazon-import, amazon-parent-b0djy5ywty, Couple Blanket, Custom Blanket, Family Blanket, Family Gift, Personalized Blanket, Quilt Set","2026-07-26T17:08:44-05:00","2026-07-26T17:06:43-05:00","2026-09-06T11:40:41-05:00","15","7","https://cdn.shopify.com/s/files/1/0792/5098/1063/files/9df0bd134caafb80cef543e0fa9ad7f956cd590354e7ab38b19d069b5fedd77a.jpg?v=1785103605","51.90","111.90","TRUE","collections/all/products.json","DISCOVERED","DISCOVERED","","2026-09-06T23:41:32.4166246+07:00"
"175","jeminise.com","jeminise.com+personalized-autumn-tree-of-life-birds-flowers-quilt-sets-radiant","8859733885127","","personalized-autumn-tree-of-life-birds-flowers-quilt-sets-radiant","https://jeminise.com/products/personalized-autumn-tree-of-life-birds-flowers-quilt-sets-radiant","https://jeminise.com/collections/all/products/personalized-autumn-tree-of-life-birds-flowers-quilt-sets-radiant","","Personalized Autumn Tree of Life Birds & Flowers Quilt Sets - Radiant","Jeminise","Quilt Sets","amazon-import, amazon-parent-b0dnq35hcn, Custom Blanket, Dad Gift, Family Blanket, Mom Gift, Personalized Blanket, Quilt Set, Tree of Life Quilt","2026-08-12T16:24:37-05:00","2026-08-12T16:13:07-05:00","2026-09-06T11:40:41-05:00","20","7","https://cdn.shopify.com/s/files/1/0792/5098/1063/files/76e83bca36e7d6cbe9d52534b537497ba2da302985d2500484b04ef5c13e86f1.jpg?v=1786569190","56.90","126.90","TRUE","collections/all/products.json","DISCOVERED","DISCOVERED","","2026-09-06T23:41:32.4166246+07:00"
"176","jeminise.com","jeminise.com+personalized-baseball-bedding-full-size-flag-custom-name-d-design-01","8867178610887","","personalized-baseball-bedding-full-size-flag-custom-name-d-design-01","https://jeminise.com/products/personalized-baseball-bedding-full-size-flag-custom-name-d-design-01","https://jeminise.com/collections/all/products/personalized-baseball-bedding-full-size-flag-custom-name-d-design-01","","Personalized Baseball Bedding Full Size Flag Custom Name D - Design 01","Jeminise","Comforter Sets","amazon-import, amazon-parent-b0cg2z23p3, Baseball, Comforter Set, Custom Blanket, Men Gift, Personalized Blanket, Sports Blanket, Sports Comforter, Women Gift","2026-08-20T11:21:13-05:00","2026-08-20T11:10:17-05:00","2026-09-06T11:40:41-05:00","48","4","https://cdn.shopify.com/s/files/1/0792/5098/1063/files/7b5c51aa3d8e7b0ede2b944964c9def4c11bee595091e278a8a03e64c42de41e.jpg?v=1787242220","38.90","158.80","TRUE","collections/all/products.json","DISCOVERED","DISCOVERED","","2026-09-06T23:41:32.4166246+07:00"
"177","jeminise.com","jeminise.com+personalized-baseball-bedding-full-size-flag-custom-name-d-design-02","8867178905799","","personalized-baseball-bedding-full-size-flag-custom-name-d-design-02","https://jeminise.com/products/personalized-baseball-bedding-full-size-flag-custom-name-d-design-02","https://jeminise.com/collections/all/products/personalized-baseball-bedding-full-size-flag-custom-name-d-design-02","","Personalized Baseball Bedding Full Size Flag Custom Name D - Design 02","Jeminise","Comforter Sets","amazon-import, amazon-parent-b0cg2z23p3, Baseball, Comforter Set, Custom Blanket, Personalized Blanket, Sports Comforter","2026-08-20T11:21:14-05:00","2026-08-20T11:10:26-05:00","2026-09-06T11:40:41-05:00","48","4","https://cdn.shopify.com/s/files/1/0792/5098/1063/files/6f4d49a4f378e1d847ce6c5fba523fd3e99a8eb747a9dd8bc23b8fd0282b9151.jpg?v=1787242229","38.90","158.80","TRUE","collections/all/products.json","DISCOVERED","DISCOVERED","","2026-09-06T23:41:32.4166246+07:00"
"178","jeminise.com","jeminise.com+personalized-baseball-bedding-full-size-flag-custom-name-d-design-03","8867178741959","","personalized-baseball-bedding-full-size-flag-custom-name-d-design-03","https://jeminise.com/products/personalized-baseball-bedding-full-size-flag-custom-name-d-design-03","https://jeminise.com/collections/all/products/personalized-baseball-bedding-full-size-flag-custom-name-d-design-03","","Personalized Baseball Bedding Full Size Flag Custom Name D - Design 03","Jeminise","Comforter Sets","amazon-import, amazon-parent-b0cg2z23p3, Baseball Comforter, Comforter Set, Personalized Blanket, Sports Blankets, Sports Comforter","2026-08-20T11:21:14-05:00","2026-08-20T11:10:23-05:00","2026-09-06T11:40:41-05:00","48","4","https://cdn.shopify.com/s/files/1/0792/5098/1063/files/ed0de96ab2ac6dbaf3ca19c66570314baff970eed7b3354a16d3982fb106adf2.jpg?v=1787242226","38.90","158.80","TRUE","collections/all/products.json","DISCOVERED","DISCOVERED","","2026-09-06T23:41:32.4166246+07:00"
